title,link,description,category,pubdate
Questions and Answers – Visa Digitalisation: Visa travel to the EU becomes easier,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2583,"European Commission Questions and answers Brussels, 27 Apr 2022 Why is the Commission proposing to introduce online visa applications?","['HOMEAFF', 'MIGR']",2022-04-26 22:00:00+00:00
Questions and Answers: Digital Markets Act: Ensuring fair and open digital markets*,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_20_2349,"European Commission Questions and answers Brussels, 28 Apr 2022 What is the Digital Markets Act?
The Digital Markets Act introduces rules for platforms that act as “gatekeepers” in the digital sector. These are platforms tha...","['COMPETY', 'DIGAG', 'PR-DIGITAL']",2022-04-22 22:00:00+00:00
Questions and Answers: Regulation on geographical indications for craft and industrial products,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2407,"European Commission Questions and answers Brussels, 13 Apr 2022 What is a geographical indication?
A geographical indication (GI) is a sign used to indicate that a product has a specific geographical origin and possesses a c...","['GROWTH', 'PR-DIGITAL']",2022-04-12 22:00:00+00:00
Questions and Answers: Commission adopts new EU Air Safety List,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2390,"European Commission Questions and answers Brussels, 13 Apr 2022 What is the EU Air Safety List?
The EU Air Safety List (ASL) is a list of air carriers that do not fulfil international safety standards. The carriers on the AS...",['TRANSPORT'],2022-04-10 22:00:00+00:00
Questions & Answers: ‘Stand Up For Ukraine' pledging event to support the people of Ukraine,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2322,"European Commission Questions and answers Brussels, 11 Apr 2022 
What is ‘Stand Up For Ukraine'?

On 26 March, President of Ukraine Volodymyr Zelenskyy called on the international community to join forces in support of Ukrai...","['PRESIDENCY', 'UKRAINE']",2022-04-08 22:00:00+00:00
Question and answers on the fifth package of restrictive measures against Russia,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2333,"European Commission Questions and answers Brussels, 12 Apr 2022 Why did you impose additional sanctions today?
It is important to sustain utmost pressure on Putin and the Russian government at this critical point. The four p...","['ENERGY', 'HREXTRELS', 'FINSTAB', 'UKRAINE']",2022-04-07 22:00:00+00:00
Questions and answers on Bulgaria's recovery and resilience plan,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2283,"European Commission Questions and answers Brussels, 07 Apr 2022 How did the Commission assess Bulgaria's recovery and resilience plan?
The Commission is assessing the recovery and resilience plans based on eleven criteria se...","['ECOMONAFF', 'PR-ECOM', 'RECOVERY', 'NGEU']",2022-04-06 22:00:00+00:00
Questions and Answers on Revised EU rules on Industrial Emissions,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2239,"European Commission Questions and answers Brussels, 05 Apr 2022 What are industrial emissions and why do we need to act on them?","['CLIMACTION', 'ENVIRO', 'PR-GREENDEAL']",2022-04-04 22:00:00+00:00
Questions and Answers on the new Human Resources Strategy and Greening the Commission,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2167,"European Commission Questions and answers Brussels, 05 Apr 2022 1. Why is a new HR Strategy necessary?
There are a number of immediate and emerging challenges facing the Commission at present, from rapid technological advanc...","['DIGAG', 'BUDFINPROG', 'INTRELADM', 'PR-ECOM']",2022-04-04 22:00:00+00:00
Questions and Answers: New rules proposed on fluorinated greenhouse gases and ozone depleting substances,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2190,"European Commission Questions and answers Brussels, 05 Apr 2022 Why is the Commission proposing new rules on fluorinated greenhouse gases and ozone depleting substances?","['CLIMACTION', 'PR-GREENDEAL']",2022-04-04 22:00:00+00:00
EU Customs Union: Questions and Answers on the Wise Persons Group report,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2182,"European Commission Questions and answers Brussels, 06 Apr 2022 What is “the Wise Persons Group on Challenges Facing the Customs Union”?
The Wise Persons Group (WPG) is an independent high-level group, comprised of members f...",['CUSTOMS'],2022-03-30 22:00:00+00:00
Questions and  Answers: Sustainable Products Initiative,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2014,"European Commission Questions and answers Brussels, 30 Mar 2022 Why is the Commission proposing an Ecodesign for Sustainable Products Regulation?","['ENVIRO', 'GROWTH', 'PR-GREENDEAL', 'COVID-19']",2022-03-29 22:00:00+00:00
Questions & Answers: Revision of the Construction Products Regulation,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2121,"European Commission Questions and answers Brussels, 30 Mar 2022 What is the Construction Products Regulation about?
The Construction Products Regulation aims to ensure that construction products can freely circulate within t...","['ENVIRO', 'GROWTH']",2022-03-29 22:00:00+00:00
Questions and Answers on EU Strategy for Sustainable and Circular Textiles,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2015,"European Commission Questions and answers Brussels, 30 Mar 2022 Why do we need to act on textiles?","['ENVIRO', 'GROWTH', 'PR-GREENDEAL', 'COVID-19']",2022-03-29 22:00:00+00:00
Questions and answers on Sweden's recovery and resilience plan,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1993,"European Commission Questions and answers Brussels, 31 Mar 2022 How did the Commission assess Sweden's recovery and resilience plan? 
The Commission is assessing the recovery and resilience plans based on eleven criteria set...","['ECOMONAFF', 'PR-ECOM', 'RECOVERY', 'NGEU']",2022-03-28 22:00:00+00:00
Questions and Answers on the crisis mechanism to financially support the fishery and aquaculture sectors,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_2004,"European Commission Questions and answers Brussels, 25 Mar 2022 Why is the Commission activating crisis measures?",['MARAFFISH'],2022-03-24 23:00:00+00:00
Questions and Answers on Portugal's disbursement request under NextGenerationEU,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1966,"European Commission Questions and answers Brussels, 25 Mar 2022 How did the Commission assess Portugal's first payment request?
On 25 January, Portugal submitted to the Commission a request for the disbursement of € 1.16 bil...","['ECOMONAFF', 'PR-ECOM', 'RECOVERY', 'NGEU']",2022-03-24 23:00:00+00:00
Questions and Answers: Commission acts to safeguard global food security and support EU farmers and consumers,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1964,"European Commission Questions and answers Brussels, 23 Mar 2022 Questions and Answers: Commission acts to safeguard global food security and support EU farmers and consumers","['AGRURAL', 'UKRAINE']",2022-03-22 23:00:00+00:00
Questions and Answers on the new EU rules on gas storage,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1937,"European Commission Questions and answers Brussels, 23 Mar 2022 Why is the Commission proposing a minimum gas storage obligation?","['ENERGY', 'PR-GREENDEAL']",2022-03-22 23:00:00+00:00
Questions and Answers: reviewing the Central Securities Depositories Regulation to boost the EU's Capital Markets Union,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1730,"European Commission Questions and answers Brussels, 16 Mar 2022 What is the Central Securities Depositories Regulation and what is today's review about?
The Central Securities Depositories Regulation was introduced following...","['FINSTAB', 'PR-ECOM']",2022-03-15 23:00:00+00:00
Question and Answers: fourth package of restrictive measures against Russia,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1776,"European Commission Questions and answers Brussels, 21 Mar 2022 What has the EU adopted today?
The EU adopted today a fourth package of restrictive measures against Russia in response to its brutal aggression against Ukraine...","['FINSTAB', 'UKRAINE']",2022-03-15 18:07:01+00:00
Questions and Answers on the 2022 Technical Support Instrument,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1523,"European Commission Questions and answers Brussels, 10 Mar 2022 Questions and Answers on the 2022 Technical Support Instrument","['REGIONAL', 'STRUREF']",2022-03-08 23:00:00+00:00
Questions and Answers on the Cohesion's Action for Refugees in Europe (CARE) proposal,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1608,"European Commission Questions and answers Brussels, 08 Mar 2022 Questions and Answers on the Cohesion's Action for Refugees in Europe (CARE) proposal","['REGIONAL', 'UKRAINE']",2022-03-07 23:00:00+00:00
Questions and answers: the Commission's proposal for new EU-wide rules to stop violence against women and domestic violence,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1534,"European Commission Questions and answers Strasbourg, 09 Mar 2022 Why is EU-wide legislation needed to address violence against women and domestic violence?","['JFRC', 'EQUAL']",2022-03-07 23:00:00+00:00
"Questions and Answers on REPowerEU: Joint European action for more affordable, secure and sustainable energy",https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1512,"European Commission Questions and answers Strasbourg, 08 Mar 2022 What is the current situation on energy prices, supply and storage in Europe?","['ENERGY', 'PR-GREENDEAL', 'COVID-19']",2022-03-07 23:00:00+00:00
Questions and answers: InvestEU Programme,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1549,"European Commission Questions and answers Brussels, 11 Mar 2022 What is InvestEU?
InvestEU provides the EU with crucial long-term funding by leveraging substantial private and public funds in support of a sustainable recover...","['ECOMONAFF', 'PRJOB']",2022-03-06 23:00:00+00:00
Questions and answers: Commission Communication on fiscal policy guidance for 2023,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1477,"European Commission Questions and answers Brussels, 06 Mar 2022 Why is the Commission issuing this Communication?  
The Communication provides Member States with guidance on the conduct of fiscal policy in 2023. Based on the...","['ECOMONAFF', 'PR-ECOM']",2022-03-01 23:00:00+00:00
Questions and answers: Commission guidance on the conditionality mechanism,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1471,"European Commission Questions and answers Brussels, 03 Mar 2022 
What is the role of the rule of law conditionality regulation?

For the European Commission, it is a priority to protect citizens' money and make sure that eve...",['BUDFINPROG'],2022-03-01 23:00:00+00:00
Questions and Answers on Italy's disbursement request under NextGenerationEU,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1355,"European Commission Questions and answers Brussels, 04 Mar 2022 How did the Commission assess Italy's first payment request?
On 30 December 2021, Italy submitted to the Commission a request for the disbursement of €21 billio...","['ECOMONAFF', 'PR-ECOM', 'RECOVERY', 'NGEU']",2022-02-27 23:00:00+00:00
Questions and Answers on Greece's disbursement request under NextGenerationEU,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1358,"European Commission Questions and answers Brussels, 04 Mar 2022 How did the Commission assess Greece's first payment request?
On 29 December 2021, Greece submitted to the Commission a request for the disbursement of €3.6 bil...","['ECOMONAFF', 'PR-ECOM', 'RECOVERY', 'NGEU']",2022-02-27 23:00:00+00:00
Frequently asked questions: Restrictive measures (sanctions),https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1401,"European Commission Questions and answers Brussels, 03 Mar 2022 Restrictive measures explained
What are EU sanctions?
Restrictive measures (sanctions) are an essential tool in the EU's common foreign and security policy (CFS...","['HREXTRELS', 'FINSTAB', 'UKRAINE']",2022-02-26 08:28:05+00:00
Data Act – Questions and Answers,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1114,"European Commission Questions and answers Brussels, 21 Mar 2022 Why do we need a Data Act?
Currently, the full value of data in the European economy is not being reaped due to a number of factors. Key issues include the lack...","['DIGAG', 'GROWTH', 'PR-DIGITAL']",2022-02-22 23:00:00+00:00
Questions and Answers: The European Battery Alliance: progress made and the way forward,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1257,"European Commission Questions and answers Brussels, 23 Feb 2022 What progress has been achieved in developing the battery value chain in Europe so far?
The industry-led European Battery Alliance was established in October 20...","['ESAI', 'GROWTH', 'INTRELADM', 'RESINSC', 'PRJOB', 'BUSINDUS']",2022-02-22 23:00:00+00:00
Questions and Answers: Proposal for a Directive on corporate sustainability due diligence,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_1146,"European Commission Questions and answers Brussels, 03 Mar 2022 Why is the Commission presenting this initiative?
The transformation to a sustainable economy is a key political priority of the EU. It is essential for the wel...",['JFRC'],2022-02-22 23:00:00+00:00
Annex: LIFE Integrated Projects,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_865,"European Commission Questions and answers Brussels, 17 Feb 2022 A compilation of summaries of projects from the LIFE 2020 Call for proposals.","['CLIMACTION', 'ENVIRO', 'PR-GREENDEAL']",2022-02-16 23:00:00+00:00
Questions and Answers: Secure Connectivity,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_922,"European Commission Questions and answers Strasbourg, 15 Feb 2022 Why is the Commission proposing a Secure Connectivity initiative?","['HREXTRELS', 'PR-DIGITAL', 'SPACE']",2022-02-14 23:00:00+00:00
Questions and Answers: Commission contribution to European defence in the context of the Strategic Compass,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_925,"European Commission Questions and answers Brussels, 17 Feb 2022 What do today's announcements include?
Today we present a Communication on the Commission's further contribution to European defence and a Roadmap on critical t...","['PR-DIGITAL', 'DEFENCE']",2022-02-14 23:00:00+00:00
Questions and Answers: Space Traffic Management,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_923,"European Commission Questions and answers Strasbourg, 15 Feb 2022 What is Space Traffic Management (STM)?","['HREXTRELS', 'PR-DIGITAL', 'SPACE']",2022-02-14 23:00:00+00:00
Questions and Answers: Farm to Fork: new rules for micro-organisms used in plant protection products,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_852,"European Commission Questions and answers Brussels, 10 Feb 2022 Questions and Answers: Farm to Fork: new rules for micro-organisms used in plant protection products",['FOODSAF'],2022-02-09 23:00:00+00:00
Questions and Answers on the 8th Cohesion Report: Cohesion in Europe towards 2050,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_763,"European Commission Questions and answers Brussels, 09 Feb 2022 Questions and Answers on the 8th Cohesion Report: Cohesion in Europe towards 2050","['REGIONAL', 'STRUREF']",2022-02-08 23:00:00+00:00
European Chips Act - Questions and Answers,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_730,"European Commission Questions and answers Brussels, 08 Feb 2022 Why a European Chips Act?
Semiconductor chips are the essential building blocks of digital and digitised products. From smartphones and cars, through critical a...","['DIGAG', 'RESINSC', 'PR-DIGITAL']",2022-02-07 23:00:00+00:00
Questions and Answers: An EU Standardisation Strategy,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_662,"European Commission Questions and answers Brussels, 02 Feb 2022 
 Why are standards important?

Standards have played a leading role in creating the EU Single Market and supporting European competitiveness. They help manufac...","['GROWTH', 'PR-DIGITAL']",2022-02-01 23:00:00+00:00
Questions and Answers on the EU Taxonomy Complementary Climate Delegated Act covering certain nuclear and gas activities,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_712,"European Commission Questions and answers Brussels, 10 Feb 2022 
 Rationale for the Delegated Act

The goal of the EU Taxonomy is to prevent greenwashing and to help investors identify economic activities in line with our en...","['ENERGY', 'FINSTAB', 'PR-GREENDEAL']",2022-02-01 23:00:00+00:00
"Guidelines on State aid for climate, environmental protection and energy 2022",https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_566,"European Commission Questions and answers Brussels, 27 Jan 2022 What are the main changes introduced in the revised Guidelines on State aid for climate, environmental protection and energy (‘CEEAG')?
The new Guidelines provi...","['COMPETY', 'STATAID']",2022-01-26 23:00:00+00:00
Questions and Answers on France's disbursement request under NextGenerationEU,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_577,"European Commission Questions and answers Brussels, 01 Feb 2022 How did the Commission assess France's first payment request?
On 26 November 2021, France submitted to the Commission a request for the disbursement of €7.4 bil...","['ECOMONAFF', 'PR-ECOM', 'RECOVERY', 'NGEU']",2022-01-25 23:00:00+00:00
Questions and Answers on the 2022 New European Bauhaus Prize,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_348,"European Commission Questions and answers Brussels, 18 Jan 2022 What is the objective of the New European Bauhaus prizes?","['REGIONAL', 'RESINSC', 'CULTMED', 'STRUREF', 'NEBAUHAUS']",2022-01-17 23:00:00+00:00
Questions and Answers - Partial suspension of the visa waiver agreement with Vanuatu,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_22_266,"European Commission Questions and answers Brussels, 12 Jan 2022 What is the purpose of the EU-Vanuatu visa waiver agreement?",['HOMEAFF'],2022-01-11 23:00:00+00:00
The next generation of EU own resources: Questions and Answers,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_7026,"European Commission Questions and answers Brussels, 22 Dec 2021 Questions and Answers - The next generation of EU own resources","['BUDFINPROG', 'NGEU']",2021-12-21 23:00:00+00:00
Questions and Answers on the Commission's proposal to end the misuse of shell entities,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6968,"European Commission Questions and answers Brussels, 22 Dec 2021 What did the European Commission propose?
The European Commission has today presented an initiative to fight against the misuse of shell entities for improper t...","['TAXCUAA', 'PR-ECOM']",2021-12-21 23:00:00+00:00
Questions and Answers on Minimum corporate taxation,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6967,"European Commission Questions and answers Brussels, 22 Dec 2021 What did the European Commission propose?
The European Commission has proposed a Directive to ensure a global minimum effective tax rate of 15% for large groups...","['TAXCUAA', 'PR-ECOM']",2021-12-21 23:00:00+00:00
"Questions and Answers: A new EU policy in support of Disarmament, Demobilisation and Reintegration of former combatants",https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6923,"European Commission Questions and answers Brussels, 21 Dec 2021 Disarmament, demobilisation and reintegration of former combatants (DDR) is the process by which individuals or groups voluntarily lay down their arms, break away from military structures, and transition to live sustainably as civilians in communities.","['DEVEL', 'ENLNEIG', 'HREXTRELS', 'NEIGHB', 'PR-EUWORLD']",2021-12-20 23:00:00+00:00
"Questions and Answers on Commission Proposal to ensure continued supply of medicines to Northern Ireland, as well as Cyprus, Ireland and Malta",https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6912,"European Commission Questions and answers Brussels, 20 Dec 2021 What has the Commission adopted today?
The Commission has today put forward a package of measures to ensure the continued long-term supply of medicines from Gre...",['BREXIT'],2021-12-16 23:00:00+00:00
Questions & Answers on the adoption of the adequacy decision ensuring safe data flows between the EU and the Republic of Korea,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6916,"European Commission Questions and answers Brussels, 17 Dec 2021 After the conclusion of the talks between the European Commission and Republic of Korea in March 2021, today's adoption of the adequacy decision for the Republic of Korea marks the final step in the process.",['JFRC'],2021-12-16 23:00:00+00:00
Questions and Answers on new EU rules on ivory trade,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6888,"European Commission Questions and answers Brussels, 16 Dec 2021 What are the international and EU rules on ivory trade?",['ENVIRO'],2021-12-15 23:00:00+00:00
Questions & Answers on Sustainable Carbon Cycles,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6688,"European Commission Questions and answers Brussels, 15 Dec 2021 What are sustainable carbon cycles?","['AGRURAL', 'CLIMACTION', 'PR-GREENDEAL']",2021-12-14 23:00:00+00:00
Questions and Answers on reducing methane emissions in the energy sector,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6684,"European Commission Questions and answers Brussels, 15 Dec 2021 Why do we need to regulate methane emissions from the energy sector?","['ENERGY', 'PR-GREENDEAL']",2021-12-14 23:00:00+00:00
Questions and Answers on the Commission's new Supervisory Data Strategy in EU financial services,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6775,"European Commission Questions and answers Brussels, 02 Feb 2022 Why is the Commission proposing this strategy?
Financial companies (such as banks, insurance companies, or asset managers) in the EU are required to report a wi...","['ECOMONAFF', 'FINSTAB', 'PR-ECOM']",2021-12-14 23:00:00+00:00
Questions and Answers on the revision of the Energy Performance of Buildings Directive,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6686,"European Commission Questions and answers Brussels, 15 Dec 2021 What are the core elements of the revision and how does it deliver the Renovation Wave Strategy?","['ENERGY', 'PR-GREENDEAL']",2021-12-14 23:00:00+00:00
Questions and Answers on the revised EU Directive on environmental crime,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6745,"European Commission Questions and answers Brussels, 15 Dec 2021 Why is the Commission proposing a new Directive on environmental crime?","['ENVIRO', 'JFRC', 'PR-GREENDEAL']",2021-12-14 23:00:00+00:00
Questions and Answers on the Hydrogen and Decarbonised Gas Package,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6685,"European Commission Questions and answers Brussels, 15 Dec 2021 What are renewable and low-carbon gases and why are they important for the climate?","['ENERGY', 'PR-GREENDEAL']",2021-12-14 23:00:00+00:00
Questions and Answers: European Urban Mobility Framework,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6729,"European Commission Questions and answers Strasbourg, 14 Dec 2021 Questions and Answers: European Urban Mobility Framework","['TRANSPORT', 'PR-GREENDEAL']",2021-12-13 23:00:00+00:00
Questions and Answers: Intelligent Transport Systems,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6727,"European Commission Questions and answers Strasbourg, 14 Dec 2021 Questions and Answers: Intelligent Transport Systems","['TRANSPORT', 'PR-GREENDEAL']",2021-12-13 23:00:00+00:00
Questions and Answers: The revision of the TEN-T Regulation,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6725,"European Commission Questions and answers Strasbourg, 14 Dec 2021 Questions and Answers: The revision of the TEN-T Regulation","['TRANSPORT', 'PR-GREENDEAL']",2021-12-13 23:00:00+00:00
Questions and answers: A fair transition towards climate neutrality,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6823,"European Commission Questions and answers Brussels, 14 Dec 2021 What is the proposal for a Council Recommendation on ensuring a fair transition towards climate neutrality about?
The European Green Deal puts social fairness a...","['CLIMACTION', 'ESAI', 'PR-GREENDEAL', 'PR-ECOM']",2021-12-13 23:00:00+00:00
Adapting Schengen to evolving challenges: Questions and Answers,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6822,"European Commission Questions and answers Strasbourg, 15 Dec 2021 Why is the revision of the Schengen Borders Code needed?","['MIGR', 'PR-PROT']",2021-12-13 23:00:00+00:00
Questions and Answers: Action Plan to boost long-distance and cross-border passenger rail services,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6701,"European Commission Questions and answers Strasbourg, 14 Dec 2021 Questions and Answers: Action Plan to boost long-distance and cross-border passenger rail services","['TRANSPORT', 'PR-GREENDEAL']",2021-12-13 23:00:00+00:00
Questions and Answers: Adoption of Regulation on Health Technology Assessment,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6773,"European Commission Questions and answers Brussels, 13 Dec 2021 Questions and Answers: Adoption of Regulation on Health Technology Assessment","['HEALTHPOL', 'COVID-19']",2021-12-12 23:00:00+00:00
Questions and answers: Individual learning accounts and micro-credentials,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6477,"European Commission Questions and answers Brussels, 10 Dec 2021 What are individual learning accounts? Who can benefit from them? 
These are virtual wallets, established by national authorities, for every person of working a...","['DIGAG', 'ECMY', 'ESAI', 'PR-PROT']",2021-12-09 23:00:00+00:00
Questions and answers: Commission invites comments on draft Guidelines on collective agreements of self-employed people,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6621,"European Commission Questions and answers Brussels, 09 Dec 2021 
 What is the scope of the draft Guidelines and who is covered by them? 

The draft Guidelines are part of a package also including a proposal for a Directive o...",['COMPETY'],2021-12-08 23:00:00+00:00
Questions and answers: the Social Economy Action Plan,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6566,"European Commission Questions and answers Brussels, 09 Dec 2021 What is the social economy?
There are 2.8 million social economy entities in Europe that employ 13.6 million people and which offer solutions to key challenges ...","['DIGAG', 'ESAI', 'BUSINDUS', 'PR-ECOM']",2021-12-08 23:00:00+00:00
Questions and Answers: Roaming*,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_654,"European Commission Questions and answers Brussels, 09 Dec 2021 Why is a new Roaming Regulation needed?
Thanks to the EU Roaming Regulation, roaming charges ended on 15 June 2017. Europeans travelling within the EU only pay ...","['DIGAG', 'PR-DIGITAL']",2021-12-08 23:00:00+00:00
Questions and answers: Improving working conditions in platform work,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6606,"European Commission Questions and answers Brussels, 09 Dec 2021 What are the main challenges the Commission's proposals aim to tackle and how?
The aim is to improve working conditions in platform work and, at the same time, ...","['COMPETY', 'DIGAG', 'ESAI', 'PR-ECOM', 'PR-DIGITAL']",2021-12-08 23:00:00+00:00
Questions and Answers: Commission proposal for an Anti-Coercion Instrument,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_21_6643,"European Commission Questions and answers Brussels, 08 Dec 2021 Questions and Answers: Commission proposal for an Anti-Coercion Instrument","['TRADEPOL', 'PR-ECOM']",2021-12-07 23:00:00+00:00
